abrv	meaning	similarity
HLA	human leukocyte antigen	0.5559579730033875
SARS	severe acute respiratory syndrome	0.5099183320999146
OR	Odds ratio	0.6955205202102661
SIR	Susceptible-Infected-Removed	0.0
SARS-CoV	SARS-associated coronavirus	0.8561398386955261
ssRNA	single-stranded RNA	0.78696209192276
TGV	Transmissible Gastroenteritis Virus	0.029477275907993317
FCoV	Feline CoronaVirus	0.5027206540107727
API	air pollution index	0.17814981937408447
GIS	"Geographic Information Systems"""	0.4811896085739136
NHS	National Health Service	0.651776909828186
HCV	hepatitis C virus	0.7837085127830505
SNP	single nucleotide polymorphism	0.7426031827926636
CFTR	cystic fibrosis transmembrane conductance regulator	0.6608175039291382
ICUs	intensive care units	0.740110456943512
Igf2r	receptor	0.17462101578712463
Ctcf	transcriptional regulator	0.35578933358192444
per day	day	0.8316720128059387
CoV	coronavirus	0.7138033509254456
PBMCs	peripheral blood mononuclear cells	0.736804723739624
Gc	glycoprotein	0.47156307101249695
SAN	Sandfly fever virus	-0.041885457932949066
E1	envelope protein 1	0.34344083070755005
SIN	Sindbis virus	0.4387885332107544
sg	subgenomic	0.46724870800971985
N	nucleocapsid	0.24083462357521057
-	during the	0.14515988528728485
RV	Rubella virus	0.20867961645126343
PTGS	post-transcriptional gene silencing	0.6857695579528809
HRCT	high resolution computerized tomography	0.6415048241615295
MRI	magnetic resonance imaging	0.8124457597732544
LAB	lactic acid bacterium	0.6438289284706116
hospital thermometer	home thermometer). The reference standard was a temperature measured by a nurse with a model of tympanic thermometer commonly used in hospitals	0.6210399866104126
siRNA	interfering RNA	0.5931602120399475
LNA	Locked Nucleic Acid	0.5361305475234985
HTs	horizontal transfers	0.031194765120744705
i	in	0.1087336391210556
HCoV-OC43	coronaviruses OC43	0.8347069025039673
HCoV-229E	) and 229E	0.7489611506462097
HCoV-NL63	coronavirus NL63	0.8271228671073914
GFP	green fluorescent protein	0.7831242680549622
HSV-1	herpes simplex virus type 1	0.7903916835784912
HCMV	cytomegalovirus	0.7818991541862488
HFFs	human foreskin fibroblasts	0.6244068741798401
IE	immediate early	0.36023640632629395
ICU	intensive care unit	0.7562124133110046
cDNA RDA	representational difference analysis	0.2988780736923218
LOS	length of stay	0.7648359537124634
CO1	cytochrome oxidase subunit-1	0.3715142607688904
D allele	allele	0.8281609416007996
ACE	angiotensin converting enzyme	0.7763632535934448
ARDS	adult respiratory distress syndrome	0.6519518494606018
I/D	insertion/deletion	0.7801942825317383
EGCg	(—)-epigallocatechin gallte	0.0
EC	epicatechin	0.09310036152601242
TP	theophylline	0.15827471017837524
C	catechin	0.05317126214504242
ECg	epicatechin gallate	0.7514255046844482
EGC	epigallocatechin	0.5018555521965027
TF3	theaflavin-3,3′-digallate	0.0
GO	Gene Ontology	0.7516540884971619
TGF-beta	transforming growth factor-beta	0.717752993106842
SPR Opt	SNP and PCR-RFLP Optimization	0.25024959444999695
PCR-RFLP	PCR-Restriction Fragment Length Polymorphism	0.5238234996795654
dsRNA	double-stranded RNA	0.74767005443573
BALF	bronchoalveolar lavage fluid	0.8521414995193481
AM	alveolar macrophages	0.36850056052207947
63.3%	63.3%), and surveillance	0.7927036881446838
HIV	human immunodeficiency virus	0.6003181338310242
E	envelope glycoprotein	0.18875092267990112
WNV	West Nile virus	0.7737051844596863
DENV	dengue virus	0.8605568408966064
SARS CoV	acute respiratory syndrome coronavirus	0.673104465007782
PSG	pregnancy-specific glycoprotein	0.13249170780181885
LRTI	lower respiratory tract infection	0.6139490604400635
CoVs	coronaviruses	0.7632815837860107
